Case ID,Activity,Resource,Start Timestamp,Complete Timestamp
173712,Start,Start,2011-10-01 11:08:36.700,2011-10-01 11:08:36.700
173712,W_Afhandelen leads,10912.0,2011-10-01 11:08:36.700,2011-10-01 11:10:25.759
173706,W_Afhandelen leads,10912.0,2011-10-01 11:15:43.883,2011-10-01 11:16:49.843
173706,Start,Start,2011-10-01 11:15:43.883,2011-10-01 11:15:43.883
173718,Start,Start,2011-10-01 11:38:48.454,2011-10-01 11:38:48.454
173718,W_Completeren aanvraag,SYS,2011-10-01 11:38:48.454,2011-10-01 11:44:43.954
173718,W_Nabellen offertes,SYS,2011-10-01 11:44:54.041,2011-10-01 11:44:58.974
173718,W_Nabellen offertes,SYS,2011-10-01 11:45:27.286,2011-10-01 11:46:56.631
173718,W_Nabellen offertes,SYS,2011-10-01 11:47:14.211,2011-10-01 11:50:20.533
173718,W_Nabellen offertes,SYS,2011-10-01 11:50:29.475,2011-10-01 11:50:34.704
173721,Start,Start,2011-10-01 12:09:08.607,2011-10-01 12:09:08.607
173721,W_Completeren aanvraag,10939.0,2011-10-01 12:09:08.607,2011-10-01 12:20:50.335
173721,W_Nabellen offertes,10939.0,2011-10-01 12:21:20.844,2011-10-01 12:22:52.458
173721,W_Nabellen offertes,10939.0,2011-10-01 12:26:32.199,2011-10-01 12:32:54.371
173694,W_Completeren aanvraag,10912.0,2011-10-01 12:31:25.301,2011-10-01 12:35:59.637
173694,Start,Start,2011-10-01 12:31:25.301,2011-10-01 12:31:25.301
173688,Start,Start,2011-10-01 12:36:46.437,2011-10-01 12:36:46.437
173688,W_Completeren aanvraag,SYS,2011-10-01 12:36:46.437,2011-10-01 12:45:13.917
173691,W_Completeren aanvraag,SYS,2011-10-01 12:37:32.393,2011-10-01 12:43:13.178
173691,Start,Start,2011-10-01 12:37:32.393,2011-10-01 12:37:32.393
173703,W_Completeren aanvraag,10912.0,2011-10-01 12:37:46.748,2011-10-01 12:40:24.141
173703,Start,Start,2011-10-01 12:37:46.748,2011-10-01 12:37:46.748
173715,Start,Start,2011-10-01 12:44:00.187,2011-10-01 12:44:00.187
173715,W_Completeren aanvraag,SYS,2011-10-01 12:44:00.187,2011-10-01 12:46:06.342
173706,W_Completeren aanvraag,10912.0,2011-10-01 12:49:28.183,2011-10-01 12:50:14.483
173706,W_Completeren aanvraag,10912.0,2011-10-01 12:50:21.451,2011-10-01 12:53:55.769
173724,W_Afhandelen leads,10912.0,2011-10-01 13:04:34.265,2011-10-01 13:12:27.600
173724,Start,Start,2011-10-01 13:04:34.265,2011-10-01 13:04:34.265
173688,W_Nabellen offertes,SYS,2011-10-01 13:15:41.290,2011-10-01 13:17:08.924
173715,W_Completeren aanvraag,10912.0,2011-10-01 13:18:51.701,2011-10-01 13:30:24.155
173724,W_Afhandelen leads,10939.0,2011-10-01 13:19:56.702,2011-10-01 13:20:55.527
173703,W_Completeren aanvraag,10912.0,2011-10-01 13:40:26.958,2011-10-01 14:02:12.557
173712,W_Completeren aanvraag,11019.0,2011-10-01 13:59:13.844,2011-10-01 14:03:35.216
173703,End,End,2011-10-01 14:02:12.557,2011-10-01 14:02:12.557
173724,W_Completeren aanvraag,10912.0,2011-10-01 14:24:12.098,2011-10-01 14:27:08.763
173730,W_Completeren aanvraag,10912.0,2011-10-01 14:52:49.258,2011-10-01 14:55:31.990
173730,Start,Start,2011-10-01 14:52:49.258,2011-10-01 14:52:49.258
173724,W_Completeren aanvraag,SYS,2011-10-01 15:01:52.452,2011-10-01 15:02:01.804
173691,W_Completeren aanvraag,SYS,2011-10-01 15:27:57.775,2011-10-01 15:35:48.791
173691,W_Nabellen offertes,SYS,2011-10-01 15:36:13.443,2011-10-01 15:36:25.794
173706,W_Completeren aanvraag,SYS,2011-10-01 15:50:26.172,2011-10-01 16:00:02.537
173733,W_Afhandelen leads,10939.0,2011-10-01 15:54:11.886,2011-10-01 15:54:56.346
173733,Start,Start,2011-10-01 15:54:11.886,2011-10-01 15:54:11.886
173733,End,End,2011-10-01 15:54:56.346,2011-10-01 15:54:56.346
173742,W_Afhandelen leads,10939.0,2011-10-01 15:54:59.794,2011-10-01 15:56:22.258
173742,Start,Start,2011-10-01 15:54:59.794,2011-10-01 15:54:59.794
173706,End,End,2011-10-01 16:00:02.537,2011-10-01 16:00:02.537
173724,W_Completeren aanvraag,11000.0,2011-10-01 16:12:31.862,2011-10-01 16:15:17.707
173730,W_Completeren aanvraag,11203.0,2011-10-01 16:14:58.530,2011-10-01 16:15:12.440
173730,W_Completeren aanvraag,11203.0,2011-10-01 16:15:21.163,2011-10-01 16:31:19.388
173745,Start,Start,2011-10-01 16:19:46.902,2011-10-01 16:19:46.902
173745,W_Afhandelen leads,10939.0,2011-10-01 16:19:46.902,2011-10-01 16:21:27.382
173748,W_Afhandelen leads,10939.0,2011-10-01 16:21:30.425,2011-10-01 16:24:17.903
