Case ID,Activity,Resource,Start Timestamp,Complete Timestamp
81051,Start,Start,2016-02-01 06:23:52,2016-02-01 06:23:52
81051,Traer informacion estudiante - banner,8997,2016-02-01 06:23:52,2016-02-01 06:23:52
81051,Radicar Solicitud Homologacion,8997,2016-02-01 06:24:02,2016-02-01 06:24:02
81051,Validar solicitud,387,2016-02-01 06:27:47,2016-02-01 06:32:06
81102,Start,Start,2016-02-01 11:53:46,2016-02-01 11:53:46
81102,Traer informacion estudiante - banner,6426,2016-02-01 11:53:46,2016-02-01 11:53:46
81102,Radicar Solicitud Homologacion,6426,2016-02-01 11:53:50,2016-02-01 12:09:56
81051,Homologacion por grupo de cursos,1007,2016-02-01 14:19:41,2016-02-01 14:38:15
81051,End,End,2016-02-01 14:38:15,2016-02-01 14:38:15
81201,Start,Start,2016-02-02 00:39:32,2016-02-02 00:39:32
81201,Traer informacion estudiante - banner,8916,2016-02-02 00:39:32,2016-02-02 00:39:32
81201,Radicar Solicitud Homologacion,8916,2016-02-02 00:39:38,2016-02-02 00:55:38
81301,Start,Start,2016-02-02 03:30:08,2016-02-02 03:30:08
81301,Traer informacion estudiante - banner,4867,2016-02-02 03:30:08,2016-02-02 03:30:08
81301,Radicar Solicitud Homologacion,4867,2016-02-02 03:30:12,2016-02-02 03:30:12
81301,Validar solicitud,22475,2016-02-02 03:38:03,2016-02-02 03:49:59
81301,Cancelar Solicitud,669,2016-02-02 03:38:03,2016-02-02 04:10:03
81851,Start,Start,2016-02-03 07:24:22,2016-02-03 07:24:22
81851,Traer informacion estudiante - banner,955,2016-02-03 07:24:22,2016-02-03 07:24:22
81851,Radicar Solicitud Homologacion,955,2016-02-03 07:24:26,2016-02-03 07:30:27
81801,Start,Start,2016-02-03 08:03:14,2016-02-03 08:03:14
81801,Homologacion por grupo de cursos,1007,2016-02-03 08:03:14,2016-02-03 09:11:05
81801,Traer informacion estudiante - banner,8997,2016-02-03 09:13:10,2016-02-03 09:13:10
81801,Radicar Solicitud Homologacion,8997,2016-02-03 09:13:17,2016-02-03 09:13:57
81802,Traer informacion estudiante - banner,8997,2016-02-03 09:22:13,2016-02-03 09:22:13
81802,Start,Start,2016-02-03 09:22:13,2016-02-03 09:22:13
81802,Radicar Solicitud Homologacion,8997,2016-02-03 09:22:14,2016-02-03 09:22:19
81802,Validar solicitud,387,2016-02-03 09:27:40,2016-02-03 09:29:03
81803,Start,Start,2016-02-03 09:29:30,2016-02-03 09:29:30
81803,Traer informacion estudiante - banner,8997,2016-02-03 09:29:30,2016-02-03 09:29:30
81803,Radicar Solicitud Homologacion,8997,2016-02-03 09:29:31,2016-02-03 09:29:38
81803,Validar solicitud,387,2016-02-03 09:36:58,2016-02-03 09:38:13
81804,Traer informacion estudiante - banner,8997,2016-02-03 09:39:44,2016-02-03 09:39:44
81804,Start,Start,2016-02-03 09:39:44,2016-02-03 09:39:44
81804,Radicar Solicitud Homologacion,8997,2016-02-03 09:39:45,2016-02-03 09:39:54
81804,Validar solicitud,387,2016-02-03 09:49:16,2016-02-03 09:50:19
81801,End,End,2016-02-03 09:54:00,2016-02-03 09:54:00
81801,Validar solicitud,19019,2016-02-03 09:54:00,2016-02-03 09:54:00
81805,Start,Start,2016-02-03 09:54:27,2016-02-03 09:54:27
81805,Traer informacion estudiante - banner,8997,2016-02-03 09:54:27,2016-02-03 09:54:27
81805,Radicar Solicitud Homologacion,8997,2016-02-03 09:54:28,2016-02-03 09:54:32
81805,Validar solicitud,387,2016-02-03 09:58:47,2016-02-03 09:59:42
81802,Homologacion por grupo de cursos,1007,2016-02-03 10:51:35,2016-02-03 19:39:09
81803,Homologacion por grupo de cursos,22491,2016-02-03 10:52:29,2016-02-03 13:57:36
81804,Homologacion por grupo de cursos,1007,2016-02-03 10:52:59,2016-02-03 11:12:02
81805,Homologacion por grupo de cursos,1007,2016-02-03 10:54:40,2016-02-03 11:13:43
81804,End,End,2016-02-03 11:12:02,2016-02-03 11:12:02
81805,End,End,2016-02-03 11:13:43,2016-02-03 11:13:43
81102,Validar solicitud,22475,2016-02-03 12:47:36,2016-02-03 12:49:35
81803,End,End,2016-02-03 13:57:36,2016-02-03 13:57:36
81951,Start,Start,2016-02-03 14:22:37,2016-02-03 14:22:37
81951,Traer informacion estudiante - banner,8443,2016-02-03 14:22:37,2016-02-03 14:22:37
81951,Radicar Solicitud Homologacion,8443,2016-02-03 14:22:41,2016-02-03 14:50:18
81102,Homologacion por grupo de cursos,1343,2016-02-03 15:59:19,2016-02-03 16:48:38
81851,Cancelar Solicitud,22475,2016-02-03 16:01:07,2016-02-03 16:17:37
82008,Traer informacion estudiante - banner,955,2016-02-03 16:08:17,2016-02-03 16:08:17
82008,Start,Start,2016-02-03 16:08:17,2016-02-03 16:08:17
82008,Radicar Solicitud Homologacion,955,2016-02-03 16:08:18,2016-02-03 16:08:29
82008,Validar solicitud,1707,2016-02-03 16:19:36,2016-02-03 17:04:55
82009,Traer informacion estudiante - banner,955,2016-02-03 16:20:30,2016-02-03 16:20:30
82009,Start,Start,2016-02-03 16:20:30,2016-02-03 16:20:30
82009,Radicar Solicitud Homologacion,955,2016-02-03 16:20:31,2016-02-03 16:20:39
82009,Validar solicitud,1707,2016-02-03 16:28:42,2016-02-03 17:13:51
81102,End,End,2016-02-03 16:48:38,2016-02-03 16:48:38
82151,Start,Start,2016-02-03 18:39:02,2016-02-03 18:39:02
82151,Traer informacion estudiante - banner,6186,2016-02-03 18:39:02,2016-02-03 18:39:02
82151,Radicar Solicitud Homologacion,6186,2016-02-03 18:39:07,2016-02-03 18:39:07
82151,Cancelar Solicitud,22404,2016-02-03 18:55:20,2016-02-03 19:45:05
82054,Start,Start,2016-02-03 19:15:40,2016-02-03 19:15:40
82054,Traer informacion estudiante - banner,18289,2016-02-03 19:15:40,2016-02-03 19:15:40
82054,Radicar Solicitud Homologacion,18289,2016-02-03 19:15:41,2016-02-03 19:15:41
82054,Validar solicitud,22475,2016-02-03 19:34:06,2016-02-03 19:48:23
81802,End,End,2016-02-03 19:39:09,2016-02-03 19:39:09
82101,Traer informacion estudiante - banner,16695,2016-02-03 20:31:58,2016-02-03 20:31:58
82101,Start,Start,2016-02-03 20:31:58,2016-02-03 20:31:58
82101,Radicar Solicitud Homologacion,16695,2016-02-03 20:32:03,2016-02-03 20:33:00
82102,Start,Start,2016-02-03 20:55:28,2016-02-03 20:55:28
82102,Traer informacion estudiante - banner,528,2016-02-03 20:55:28,2016-02-03 20:55:28
82102,Radicar Solicitud Homologacion,528,2016-02-03 20:55:29,2016-02-03 20:55:29
81201,Notificacion estudiante cancelacion soli,8916,2016-02-03 21:15:31,2016-02-03 21:15:31
82102,Validar solicitud,716,2016-02-03 22:18:54,2016-02-03 22:46:17
81201,Cancelar Solicitud,8916,2016-02-03 23:15:12,2016-02-03 23:15:12
81201,End,End,2016-02-03 23:15:12,2016-02-03 23:15:12
82251,Traer informacion estudiante - banner,8916,2016-02-03 23:20:38,2016-02-03 23:20:38
82251,Start,Start,2016-02-03 23:20:38,2016-02-03 23:20:38
82251,Radicar Solicitud Homologacion,8916,2016-02-03 23:20:41,2016-02-03 23:20:41
82251,Validar solicitud,669,2016-02-03 23:28:26,2016-02-03 23:38:22
82251,Cancelar Solicitud,8916,2016-02-03 23:28:26,2016-02-04 00:07:51
82301,Start,Start,2016-02-04 00:55:23,2016-02-04 00:55:23
82301,Traer informacion estudiante - banner,8186,2016-02-04 00:55:23,2016-02-04 00:55:23
82301,Radicar Solicitud Homologacion,8186,2016-02-04 00:55:26,2016-02-04 01:07:46
82503,Start,Start,2016-02-04 07:47:27,2016-02-04 07:47:27
82503,Traer informacion estudiante - banner,8528,2016-02-04 07:47:27,2016-02-04 07:47:27
82503,Radicar Solicitud Homologacion,8528,2016-02-04 07:47:30,2016-02-04 07:47:36
82503,Cancelar Solicitud,8528,2016-02-04 08:06:17,2016-02-04 08:06:28
82505,Traer informacion estudiante - banner,8528,2016-02-04 08:06:44,2016-02-04 08:06:44
82505,Start,Start,2016-02-04 08:06:44,2016-02-04 08:06:44
82505,Radicar Solicitud Homologacion,8528,2016-02-04 08:06:45,2016-02-04 08:06:50
82505,Cancelar Solicitud,1707,2016-02-04 08:12:27,2016-02-04 08:56:14
82506,Start,Start,2016-02-04 08:16:32,2016-02-04 08:16:32
82506,Traer informacion estudiante - banner,2804,2016-02-04 08:16:32,2016-02-04 08:16:32
82506,Radicar Solicitud Homologacion,2804,2016-02-04 08:16:33,2016-02-04 08:16:40
82503,Notificacion estudiante cancelacion soli,8528,2016-02-04 08:18:12,2016-02-04 08:18:12
82503,End,End,2016-02-04 08:18:12,2016-02-04 08:18:12
82507,Start,Start,2016-02-04 08:18:19,2016-02-04 08:18:19
82507,Traer informacion estudiante - banner,8528,2016-02-04 08:18:19,2016-02-04 08:18:19
82507,Radicar Solicitud Homologacion,8528,2016-02-04 08:18:20,2016-02-04 08:18:21
82507,Validar solicitud,6694,2016-02-04 08:19:58,2016-02-04 08:29:27
82506,Validar solicitud,677,2016-02-04 08:24:30,2016-02-04 08:40:05
82508,Start,Start,2016-02-04 08:24:47,2016-02-04 08:24:47
82508,Traer informacion estudiante - banner,8528,2016-02-04 08:24:47,2016-02-04 08:24:47
82508,Radicar Solicitud Homologacion,8528,2016-02-04 08:24:49,2016-02-04 08:24:57
82508,Validar solicitud,1707,2016-02-04 08:33:34,2016-02-04 09:17:00
82101,Validar solicitud,659,2016-02-04 08:57:57,2016-02-04 09:05:49
82655,Start,Start,2016-02-04 13:49:43,2016-02-04 13:49:43
82655,Validar solicitud,22475,2016-02-04 13:49:43,2016-02-04 13:59:50
82604,Traer informacion estudiante - banner,8450,2016-02-04 14:15:57,2016-02-04 14:15:57
82604,Start,Start,2016-02-04 14:15:57,2016-02-04 14:15:57
82604,Radicar Solicitud Homologacion,8450,2016-02-04 14:16:00,2016-02-04 14:16:08
82604,Validar solicitud,18929,2016-02-04 14:24:12,2016-02-04 16:03:47
82651,Traer informacion estudiante - banner,2925,2016-02-04 16:01:04,2016-02-04 16:01:04
82651,Start,Start,2016-02-04 16:01:04,2016-02-04 16:01:04
82651,Radicar Solicitud Homologacion,2925,2016-02-04 16:01:08,2016-02-04 16:01:33
82652,Start,Start,2016-02-04 16:08:03,2016-02-04 16:08:03
82652,Traer informacion estudiante - banner,3421,2016-02-04 16:08:03,2016-02-04 16:08:03
82652,Radicar Solicitud Homologacion,3421,2016-02-04 16:08:04,2016-02-04 16:08:21
82652,Validar solicitud,19019,2016-02-04 16:25:36,2016-02-04 16:33:13
82651,Validar solicitud,49,2016-02-04 16:26:58,2016-02-04 16:50:31
82655,Traer informacion estudiante - banner,2834,2016-02-04 16:27:22,2016-02-04 16:27:22
82655,Radicar Solicitud Homologacion,2834,2016-02-04 16:27:23,2016-02-04 16:27:23
82801,Traer informacion estudiante - banner,5571,2016-02-04 17:29:25,2016-02-04 17:29:25
82801,Start,Start,2016-02-04 17:29:25,2016-02-04 17:29:25
82801,Radicar Solicitud Homologacion,5571,2016-02-04 17:29:30,2016-02-04 17:30:00
82802,Start,Start,2016-02-04 17:41:16,2016-02-04 17:41:16
82802,Traer informacion estudiante - banner,9872,2016-02-04 17:41:16,2016-02-04 17:41:16
82802,Radicar Solicitud Homologacion,9872,2016-02-04 17:41:17,2016-02-04 17:41:28
82802,Validar solicitud,1707,2016-02-04 17:52:53,2016-02-04 18:19:35
82701,Traer informacion estudiante - banner,26147,2016-02-04 18:33:33,2016-02-04 18:33:33
82701,Start,Start,2016-02-04 18:33:33,2016-02-04 18:33:33
82701,Radicar Solicitud Homologacion,26147,2016-02-04 18:33:38,2016-02-04 18:53:12
82801,Validar solicitud,669,2016-02-04 20:48:08,2016-02-04 20:49:58
82851,Start,Start,2016-02-05 04:18:45,2016-02-05 04:18:45
82851,Traer informacion estudiante - banner,8588,2016-02-05 04:18:45,2016-02-05 04:18:45
82851,Radicar Solicitud Homologacion,8588,2016-02-05 04:18:52,2016-02-05 04:54:52
82902,Homologacion por grupo de cursos,1343,2016-02-05 07:40:37,2016-02-05 08:19:56
82902,Start,Start,2016-02-05 07:40:37,2016-02-05 07:40:37
82101,Homologacion por grupo de cursos,1422,2016-02-05 08:50:37,2016-02-05 08:51:10
82101,End,End,2016-02-05 08:51:10,2016-02-05 08:51:10
82952,Traer informacion estudiante - banner,4708,2016-02-05 08:52:59,2016-02-05 08:52:59
82952,Start,Start,2016-02-05 08:52:59,2016-02-05 08:52:59
82952,Radicar Solicitud Homologacion,4708,2016-02-05 08:53:00,2016-02-05 08:53:19
82952,Cancelar Solicitud,677,2016-02-05 09:12:11,2016-02-05 09:18:58
82507,Homologacion por grupo de cursos,6990,2016-02-05 09:49:44,2016-02-05 12:23:54
82801,Homologacion por grupo de cursos,1343,2016-02-05 09:50:43,2016-02-05 10:28:11
82902,Traer informacion estudiante - banner,6159,2016-02-05 10:10:51,2016-02-05 10:10:51
82902,Radicar Solicitud Homologacion,6159,2016-02-05 10:10:52,2016-02-05 10:10:54
82902,Validar solicitud,669,2016-02-05 10:13:41,2016-02-05 10:13:41
82902,End,End,2016-02-05 10:13:41,2016-02-05 10:13:41
82801,End,End,2016-02-05 10:28:11,2016-02-05 10:28:11
82903,Start,Start,2016-02-05 12:03:29,2016-02-05 12:03:29
82903,Traer informacion estudiante - banner,8213,2016-02-05 12:03:29,2016-02-05 12:03:29
82903,Radicar Solicitud Homologacion,8213,2016-02-05 12:03:30,2016-02-05 12:03:30
82904,Start,Start,2016-02-05 12:13:49,2016-02-05 12:13:49
