Case ID,Activity,Resource,Start Timestamp,Complete Timestamp
Case189,Turning & Milling Q.C.,ID4163,2012-01-02 00:00:00,2012-01-02 01:15:00
Case189,Start,Start,2012-01-02 00:00:00,2012-01-02 00:00:00
Case238,Turning & Milling,ID4794,2012-01-02 01:00:00,2012-01-02 07:00:00
Case238,Start,Start,2012-01-02 01:00:00,2012-01-02 01:00:00
Case187,Start,Start,2012-01-02 07:00:00,2012-01-02 07:00:00
Case187,Lapping,ID4882,2012-01-02 07:00:00,2012-01-02 09:30:00
Case255,Start,Start,2012-01-02 07:00:00,2012-01-02 07:00:00
Case255,Turning,ID0997,2012-01-02 07:00:00,2012-01-02 18:00:00
Case238,Turning & Milling,ID4529,2012-01-02 07:00:00,2012-01-02 14:00:00
Case277,Milling,ID4326,2012-01-02 07:30:00,2012-01-02 16:00:00
Case277,Start,Start,2012-01-02 07:30:00,2012-01-02 07:30:00
Case246,Start,Start,2012-01-02 09:00:00,2012-01-02 09:00:00
Case263,Turning & Milling,ID4219,2012-01-02 09:00:00,2012-01-02 11:00:00
Case246,Turning & Milling,ID4641,2012-01-02 09:00:00,2012-01-02 16:00:00
Case263,Start,Start,2012-01-02 09:00:00,2012-01-02 09:00:00
Case254,Laser Marking,ID0998,2012-01-02 10:15:00,2012-01-02 12:15:00
Case254,Start,Start,2012-01-02 10:15:00,2012-01-02 10:15:00
Case274,Turning & Milling,ID4219,2012-01-02 11:01:00,2012-01-02 16:43:00
Case274,Start,Start,2012-01-02 11:01:00,2012-01-02 11:01:00
Case188,Laser Marking,ID0998,2012-01-02 12:15:00,2012-01-02 14:00:00
Case188,Start,Start,2012-01-02 12:15:00,2012-01-02 12:15:00
Case188,Lapping,ID4882,2012-01-02 12:20:00,2012-01-02 12:50:00
Case189,Turning & Milling Q.C.,ID4163,2012-01-02 13:00:00,2012-01-02 14:00:00
Case188,Lapping,ID4882,2012-01-02 13:20:00,2012-01-02 16:00:00
Case238,Turning & Milling,ID4529,2012-01-02 14:00:00,2012-01-02 16:00:00
Case189,Turning & Milling Q.C.,ID4163,2012-01-02 14:00:00,2012-01-02 16:10:00
Case254,Flat Grinding,ID0998,2012-01-02 14:00:00,2012-01-02 16:00:00
Case246,Turning & Milling,ID3846,2012-01-02 16:00:00,2012-01-02 23:40:00
Case188,Lapping,ID0998,2012-01-02 16:00:00,2012-01-02 17:00:00
Case153,Round Grinding,ID4528,2012-01-02 19:00:00,2012-01-02 19:50:00
Case153,Start,Start,2012-01-02 19:00:00,2012-01-02 19:00:00
Case153,Round Grinding,ID4528,2012-01-02 19:50:00,2012-01-02 20:45:00
Case238,Turning & Milling,ID4794,2012-01-02 20:00:00,2012-01-03 07:00:00
Case236,Start,Start,2012-01-02 20:45:00,2012-01-02 20:45:00
Case236,Round Grinding,ID4528,2012-01-02 20:45:00,2012-01-02 21:30:00
Case236,Round Grinding,ID4528,2012-01-02 22:00:00,2012-01-02 23:45:00
Case277,Turning & Milling Q.C.,ID4493,2012-01-03 00:00:00,2012-01-03 01:15:00
Case236,Turning & Milling Q.C.,ID4618,2012-01-03 06:50:00,2012-01-03 07:44:00
Case274,Turning & Milling,ID4219,2012-01-03 06:59:00,2012-01-03 10:12:00
Case236,Round Grinding,ID4872,2012-01-03 07:00:00,2012-01-03 11:50:00
Case189,Final Inspection Q.C.,ID4163,2012-01-03 07:00:00,2012-01-03 13:00:00
Case232,Turning & Milling Q.C.,ID4493,2012-01-03 07:01:00,2012-01-03 07:06:00
Case232,Start,Start,2012-01-03 07:01:00,2012-01-03 07:01:00
Case232,Turning & Milling,ID4429,2012-01-03 07:04:00,2012-01-03 08:19:00
Case274,Turning & Milling Q.C.,ID4287,2012-01-03 07:05:00,2012-01-03 08:40:00
Case232,Laser Marking,ID4872,2012-01-03 07:10:00,2012-01-03 08:25:00
Case250,Milling,ID4326,2012-01-03 07:30:00,2012-01-03 16:00:00
Case250,Start,Start,2012-01-03 07:30:00,2012-01-03 07:30:00
Case238,Turning & Milling,ID4167,2012-01-03 07:34:00,2012-01-03 07:43:00
Case238,Turning & Milling,ID4167,2012-01-03 07:35:00,2012-01-03 08:49:00
Case238,Turning & Milling Q.C.,ID4618,2012-01-03 07:44:00,2012-01-03 09:11:00
Case210,Turning & Milling,ID4529,2012-01-03 10:00:00,2012-01-03 16:00:00
Case210,Start,Start,2012-01-03 10:00:00,2012-01-03 10:00:00
Case274,Turning & Milling,ID4219,2012-01-03 10:13:00,2012-01-03 11:51:00
Case238,Turning & Milling,ID4167,2012-01-03 10:17:00,2012-01-03 16:07:00
Case233,Start,Start,2012-01-03 11:00:00,2012-01-03 11:00:00
Case233,Turn & Mill. & Screw Assem,ID4641,2012-01-03 11:00:00,2012-01-03 16:00:00
Case274,Turning & Milling Q.C.,ID4287,2012-01-03 11:30:00,2012-01-03 12:14:00
Case274,Flat Grinding,ID4872,2012-01-03 11:50:00,2012-01-03 12:30:00
Case263,Turning & Milling,ID4219,2012-01-03 11:52:00,2012-01-03 17:58:00
Case274,Lapping,ID4872,2012-01-03 12:30:00,2012-01-03 13:30:00
Case274,Round Grinding,ID4872,2012-01-03 13:30:00,2012-01-03 16:00:00
Case246,Turning & Milling,ID4641,2012-01-03 14:14:00,2012-01-03 15:29:00
Case219,Start,Start,2012-01-03 15:55:00,2012-01-03 15:55:00
Case219,Lapping,ID0998,2012-01-03 15:55:00,2012-01-03 17:04:00
Case233,Turn & Mill. & Screw Assem,ID3846,2012-01-03 15:55:00,2012-01-03 20:24:00
Case236,Round Grinding,ID4528,2012-01-03 16:00:00,2012-01-03 23:40:00
Case254,Flat Grinding,ID0998,2012-01-03 17:04:00,2012-01-03 18:23:00
Case238,Turning & Milling,ID4794,2012-01-03 20:14:00,2012-01-04 06:32:00
Case210,Turning & Milling,ID4794,2012-01-03 20:15:00,2012-01-03 21:05:00
Case233,Turn & Mill. & Screw Assem,ID3846,2012-01-03 20:25:00,2012-01-03 23:41:00
Case210,Turning & Milling,ID4794,2012-01-03 21:06:00,2012-01-04 06:33:00
Case154,Start,Start,2012-01-04 00:00:00,2012-01-04 00:00:00
Case154,Round Grinding,ID4493,2012-01-04 00:00:00,2012-01-04 01:15:00
Case201,Start,Start,2012-01-04 00:00:00,2012-01-04 00:00:00
Case201,Turning & Milling Q.C.,ID4493,2012-01-04 00:00:00,2012-01-04 01:15:00
Case222,Packing,ID4820,2012-01-04 00:00:00,2012-01-04 01:00:00
Case222,Start,Start,2012-01-04 00:00:00,2012-01-04 00:00:00
Case201,Round Grinding,ID4493,2012-01-04 00:00:00,2012-01-04 01:15:00
Case233,Turn & Mill. & Screw Assem,ID4932,2012-01-04 00:04:00,2012-01-04 04:34:00
Case222,End,End,2012-01-04 01:00:00,2012-01-04 01:00:00
Case238,Turning & Milling Q.C.,ID4618,2012-01-04 06:50:00,2012-01-04 07:29:00
Case263,Turning & Milling,ID4219,2012-01-04 06:59:00,2012-01-04 09:18:00
Case246,Turning & Milling Q.C.,ID4287,2012-01-04 07:00:00,2012-01-04 08:40:00
Case238,Turning & Milling,ID4167,2012-01-04 07:13:00,2012-01-04 18:03:00
Case210,Turning & Milling,ID4529,2012-01-04 08:00:00,2012-01-04 15:30:00
Case208,Start,Start,2012-01-04 08:35:00,2012-01-04 08:35:00
Case208,Turning & Milling,ID4641,2012-01-04 08:35:00,2012-01-04 15:57:00
Case263,Turning & Milling Q.C.,ID4287,2012-01-04 09:00:00,2012-01-04 10:00:00
Case263,Turning & Milling,ID4219,2012-01-04 09:21:00,2012-01-04 11:00:00
Case228,Turning & Milling,ID0997,2012-01-04 09:35:00,2012-01-04 10:51:00
Case228,Start,Start,2012-01-04 09:35:00,2012-01-04 09:35:00
Case246,Laser Marking,ID4882,2012-01-04 09:39:00,2012-01-04 10:21:00
Case189,Final Inspection Q.C.,ID4163,2012-01-04 10:00:00,2012-01-04 12:50:00
Case274,Round Grinding,ID4287,2012-01-04 10:00:00,2012-01-04 11:02:00
Case254,Flat Grinding,ID4882,2012-01-04 10:28:00,2012-01-04 11:54:00
Case265,Start,Start,2012-01-04 10:52:00,2012-01-04 10:52:00
Case265,Turning,ID0997,2012-01-04 10:52:00,2012-01-04 15:59:00
Case246,Flat Grinding,ID0998,2012-01-04 10:59:00,2012-01-04 17:54:00
Case263,Turning & Milling,ID4219,2012-01-04 11:00:00,2012-01-04 16:21:00
Case274,Laser Marking,ID0998,2012-01-04 11:05:00,2012-01-04 12:20:00
Case274,Final Inspection Q.C.,ID4287,2012-01-04 11:12:00,2012-01-04 12:49:00
Case274,Final Inspection Q.C.,ID4287,2012-01-04 13:20:00,2012-01-04 13:30:00
Case250,Milling,ID4326,2012-01-04 14:00:00,2012-01-04 18:00:00
Case233,Turning & Milling Q.C.,ID4287,2012-01-04 14:30:00,2012-01-04 17:04:00
Case254,Final Inspection Q.C.,ID4618,2012-01-04 15:26:00,2012-01-04 15:57:00
Case208,Turning & Milling,ID3846,2012-01-04 15:58:00,2012-01-04 22:34:00
Case236,Round Grinding,ID4528,2012-01-04 16:14:00,2012-01-04 16:58:00
Case153,Final Inspection Q.C.,ID4287,2012-01-04 17:10:00,2012-01-04 17:47:00
Case238,Turning & Milling,ID4794,2012-01-04 20:07:00,2012-01-04 20:18:00
Case210,Turning & Milling,ID4794,2012-01-04 20:08:00,2012-01-05 06:27:00
Case238,Turning & Milling,ID4932,2012-01-04 20:19:00,2012-01-05 06:46:00
Case246,Flat Grinding,ID4882,2012-01-05 00:00:00,2012-01-05 01:15:00
Case227,Start,Start,2012-01-05 00:00:00,2012-01-05 00:00:00
Case189,Packing,ID4820,2012-01-05 00:00:00,2012-01-05 01:00:00
Case227,Packing,ID4820,2012-01-05 00:00:00,2012-01-05 01:00:00
Case274,Packing,ID4820,2012-01-05 00:00:00,2012-01-05 01:00:00
Case238,Turning & Milling,ID4167,2012-01-05 00:49:00,2012-01-05 11:32:00
Case274,End,End,2012-01-05 01:00:00,2012-01-05 01:00:00
Case189,End,End,2012-01-05 01:00:00,2012-01-05 01:00:00
Case263,Turning & Milling,ID4219,2012-01-05 06:48:00,2012-01-05 07:06:00
Case210,Turning & Milling Q.C.,ID4618,2012-01-05 06:54:00,2012-01-05 07:35:00
Case227,Final Inspection Q.C.,ID4287,2012-01-05 07:00:00,2012-01-05 07:56:00
Case250,Milling,ID4326,2012-01-05 07:00:00,2012-01-05 16:00:00
Case250,Final Inspection Q.C.,ID4163,2012-01-05 07:00:00,2012-01-05 12:50:00
Case265,Turning,ID0997,2012-01-05 07:34:00,2012-01-05 08:26:00
Case227,End,End,2012-01-05 07:56:00,2012-01-05 07:56:00
Case238,Turning & Milling Q.C.,ID4618,2012-01-05 08:00:00,2012-01-05 09:23:00
Case210,Turning & Milling,ID4529,2012-01-05 08:00:00,2012-01-05 17:00:00
Case153,Final Inspection Q.C.,ID4287,2012-01-05 08:05:00,2012-01-05 08:40:00
Case246,Flat Grinding,ID0998,2012-01-05 08:16:00,2012-01-05 10:35:00
Case263,Turning & Milling,ID0997,2012-01-05 08:30:00,2012-01-05 10:45:00
Case236,Final Inspection Q.C.,ID4618,2012-01-05 09:53:00,2012-01-05 15:29:00
Case201,Turning,ID4219,2012-01-05 10:10:00,2012-01-05 10:11:00
Case201,Turning,ID4219,2012-01-05 10:12:00,2012-01-05 13:52:00
Case263,Turning & Milling Q.C.,ID4287,2012-01-05 10:30:00,2012-01-05 11:30:00
Case215,Turning & Milling,ID0997,2012-01-05 11:20:00,2012-01-05 15:21:00
Case215,Start,Start,2012-01-05 11:20:00,2012-01-05 11:20:00
Case233,Laser Marking,ID0998,2012-01-05 11:23:00,2012-01-05 11:45:00
Case263,Flat Grinding,ID0998,2012-01-05 11:46:00,2012-01-05 12:27:00
Case233,Flat Grinding,ID0998,2012-01-05 12:28:00,2012-01-05 14:51:00
Case201,Turning,ID4219,2012-01-05 13:53:00,2012-01-05 17:37:00
