Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Variant,Variant index,(case) creator,(case) variant,(case) variant-index,concept:name,lifecycle:transition,org:resource
1,Create Purchase Requisition,Kim Passa,2011/01/01 07:00:00.000,2011/01/01 07:37:00.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Create Purchase Requisition,complete,Kim Passa
1,Create Request for Quotation,Kim Passa,2011/01/01 12:37:00.000,2011/01/01 12:45:00.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Create Request for Quotation,complete,Kim Passa
1,Analyze Request for Quotation,Karel de Groot,2011/01/01 13:41:00.000,2011/01/01 13:55:00.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Analyze Request for Quotation,complete,Karel de Groot
1,Send Request for Quotation to Supplier,Karel de Groot,2011/01/01 18:43:00.000,2011/01/01 19:09:00.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Send Request for Quotation to Supplier,complete,Karel de Groot
1,Create Quotation comparison Map,Magdalena Predutta,2011/01/01 19:32:00.000,2011/01/01 23:03:00.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Create Quotation comparison Map,complete,Magdalena Predutta
1,Analyze Quotation Comparison Map,Immanuel Karagianni,2011/01/02 05:44:00.000,2011/01/02 06:13:00.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Analyze Quotation Comparison Map,complete,Immanuel Karagianni
1,Choose best option,Tesca Lobes,2011/01/02 06:13:00.000,2011/01/02 06:13:00.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Choose best option,complete,Tesca Lobes
1,Settle Conditions With Supplier,Francois de Perrier,2011/01/02 08:22:00.000,2011/01/02 16:20:00.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Settle Conditions With Supplier,complete,Francois de Perrier
1,Create Purchase Order,Karel de Groot,2011/01/02 16:58:00.000,2011/01/02 17:10:00.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Create Purchase Order,complete,Karel de Groot
1,Confirm Purchase Order,Sean Manney,2011/01/02 21:09:00.000,2011/01/02 21:43:00.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Confirm Purchase Order,complete,Sean Manney
1,Deliver Goods Services,Sean Manney,2011/01/03 03:49:00.000,2011/01/03 10:37:00.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Deliver Goods Services,complete,Sean Manney
1,Release Purchase Order,Elvira Lores,2011/01/03 18:20:00.000,2011/01/03 18:21:00.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Release Purchase Order,complete,Elvira Lores
1,Approve Purchase Order for payment,Karel de Groot,2011/01/04 02:09:00.000,2011/01/04 02:10:00.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Approve Purchase Order for payment,complete,Karel de Groot
1,Send Invoice,Kiu Kan,2011/01/04 07:54:00.000,2011/01/04 07:54:00.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Send Invoice,complete,Kiu Kan
1,Release Supplier's Invoice,Karalda Nimwada,2011/01/04 22:08:00.000,2011/01/04 22:13:00.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Release Supplier's Invoice,complete,Karalda Nimwada
1,Authorize Supplier's Invoice payment,Karalda Nimwada,2011/01/04 22:13:00.000,2011/01/04 22:13:00.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Authorize Supplier's Invoice payment,complete,Karalda Nimwada
1,Pay Invoice,Pedro Alvares,2011/01/04 22:22:00.000,2011/01/04 22:31:00.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Pay Invoice,complete,Pedro Alvares
2,Create Purchase Requisition,Immanuel Karagianni,2011/01/01 07:16:00.000,2011/01/01 07:29:00.000,Variant 20,20,Fluxicon Disco,Variant 20,20,Create Purchase Requisition,complete,Immanuel Karagianni
2,Create Request for Quotation,Alberto Duport,2011/01/01 15:16:00.000,2011/01/01 15:26:00.000,Variant 20,20,Fluxicon Disco,Variant 20,20,Create Request for Quotation,complete,Alberto Duport
