Case ID,Activity,Resource,Start Timestamp,Complete Timestamp
1,Start,Start,2011-01-01 00:00:00,2011-01-01 00:00:00
1,Create Purchase Requisition,Kim Passa,2011-01-01 00:00:00,2011-01-01 00:37:00
2,Create Purchase Requisition,Immanuel Karagianni,2011-01-01 00:16:00,2011-01-01 00:29:00
2,Start,Start,2011-01-01 00:16:00,2011-01-01 00:16:00
3,Start,Start,2011-01-01 02:23:00,2011-01-01 02:23:00
3,Create Purchase Requisition,Kim Passa,2011-01-01 02:23:00,2011-01-01 03:03:00
1,Create Request for Quotation,Kim Passa,2011-01-01 05:37:00,2011-01-01 05:45:00
1,Analyze Request for Quotation,Karel de Groot,2011-01-01 06:41:00,2011-01-01 06:55:00
2,Create Request for Quotation,Alberto Duport,2011-01-01 08:16:00,2011-01-01 08:26:00
4,Create Purchase Requisition,Fjodor Kowalski,2011-01-01 08:39:00,2011-01-01 09:00:00
4,Start,Start,2011-01-01 08:39:00,2011-01-01 08:39:00
2,Analyze Request for Quotation,Karel de Groot,2011-01-01 09:34:00,2011-01-01 09:38:00
5,Create Purchase Requisition,Esmana Liubiata,2011-01-01 09:49:00,2011-01-01 10:35:00
5,Start,Start,2011-01-01 09:49:00,2011-01-01 09:49:00
2,Amend Request for Quotation,Christian Francois,2011-01-01 10:16:00,2011-01-01 10:21:00
2,Analyze Request for Quotation,Magdalena Predutta,2011-01-01 11:15:00,2011-01-01 11:48:00
6,Start,Start,2011-01-01 11:20:00,2011-01-01 11:20:00
6,Create Purchase Requisition,Christian Francois,2011-01-01 11:20:00,2011-01-01 11:37:00
1,Send Request for Quotation to Supplier,Karel de Groot,2011-01-01 11:43:00,2011-01-01 12:09:00
1,Create Quotation comparison Map,Magdalena Predutta,2011-01-01 12:32:00,2011-01-01 16:03:00
2,Amend Request for Quotation,Esmana Liubiata,2011-01-01 12:33:00,2011-01-01 12:39:00
2,Analyze Request for Quotation,Karel de Groot,2011-01-01 13:28:00,2011-01-01 13:38:00
7,Start,Start,2011-01-01 14:05:00,2011-01-01 14:05:00
7,Create Purchase Requisition,Esmana Liubiata,2011-01-01 14:05:00,2011-01-01 15:00:00
8,Start,Start,2011-01-01 14:27:00,2011-01-01 14:27:00
8,Create Purchase Requisition,Fjodor Kowalski,2011-01-01 14:27:00,2011-01-01 15:17:00
2,Send Request for Quotation to Supplier,Francois de Perrier,2011-01-01 15:18:00,2011-01-01 15:40:00
2,Create Quotation comparison Map,Karel de Groot,2011-01-01 15:55:00,2011-01-01 16:43:00
9,Create Purchase Requisition,Tesca Lobes,2011-01-01 16:17:00,2011-01-01 16:34:00
9,Start,Start,2011-01-01 16:17:00,2011-01-01 16:17:00
6,Create Request for Quotation,Alberto Duport,2011-01-01 17:32:00,2011-01-01 17:45:00
8,Create Request for Quotation,Tesca Lobes,2011-01-01 18:00:00,2011-01-01 18:07:00
6,Analyze Request for Quotation,Magdalena Predutta,2011-01-01 18:39:00,2011-01-01 18:55:00
4,Analyze Purchase Requisition,Maris Freeman,2011-01-01 18:45:00,2011-01-01 18:51:00
4,Create Request for Quotation,Heinz Gutschmidt,2011-01-01 18:56:00,2011-01-01 18:58:00
8,Analyze Request for Quotation,Francois de Perrier,2011-01-01 19:04:00,2011-01-01 19:27:00
6,Amend Request for Quotation,Penn Osterwalder,2011-01-01 19:47:00,2011-01-01 19:55:00
4,Analyze Request for Quotation,Francois de Perrier,2011-01-01 19:58:00,2011-01-01 20:19:00
8,Amend Request for Quotation,Tesca Lobes,2011-01-01 20:21:00,2011-01-01 20:34:00
6,Analyze Request for Quotation,Francois de Perrier,2011-01-01 20:55:00,2011-01-01 21:28:00
4,Amend Request for Quotation,Nico Ojenbeer,2011-01-01 21:06:00,2011-01-01 21:14:00
8,Analyze Request for Quotation,Magdalena Predutta,2011-01-01 21:35:00,2011-01-01 22:01:00
4,Analyze Request for Quotation,Francois de Perrier,2011-01-01 22:01:00,2011-01-01 22:24:00
6,Amend Request for Quotation,Anne Olwada,2011-01-01 22:13:00,2011-01-01 22:28:00
9,Create Request for Quotation,Penn Osterwalder,2011-01-01 22:38:00,2011-01-01 22:48:00
1,Analyze Quotation Comparison Map,Immanuel Karagianni,2011-01-01 22:44:00,2011-01-01 23:13:00
1,Choose best option,Tesca Lobes,2011-01-01 23:13:00,2011-01-01 23:13:00
6,Analyze Request for Quotation,Karel de Groot,2011-01-01 23:24:00,2011-01-01 23:48:00
2,Analyze Quotation Comparison Map,Esmana Liubiata,2011-01-01 23:33:00,2011-01-01 23:44:00
2,Choose best option,Fjodor Kowalski,2011-01-01 23:44:00,2011-01-01 23:44:00
9,Analyze Request for Quotation,Karel de Groot,2011-01-01 23:49:00,2011-01-02 00:12:00
1,Settle Conditions With Supplier,Francois de Perrier,2011-01-02 01:22:00,2011-01-02 09:20:00
3,Analyze Purchase Requisition,Heinz Gutschmidt,2011-01-02 01:50:00,2011-01-02 01:58:00
5,Analyze Purchase Requisition,Maris Freeman,2011-01-02 01:50:00,2011-01-02 01:57:00
3,Create Request for Quotation,Francis Odell,2011-01-02 02:01:00,2011-01-02 02:03:00
5,Create Request for Quotation,Maris Freeman,2011-01-02 02:05:00,2011-01-02 02:06:00
2,Settle Conditions With Supplier,Magdalena Predutta,2011-01-02 02:15:00,2011-01-02 15:07:00
4,Send Request for Quotation to Supplier,Karel de Groot,2011-01-02 02:42:00,2011-01-02 03:01:00
10,Create Purchase Requisition,Esmana Liubiata,2011-01-02 02:52:00,2011-01-02 03:43:00
10,Start,Start,2011-01-02 02:52:00,2011-01-02 02:52:00
5,Analyze Request for Quotation,Karel de Groot,2011-01-02 03:02:00,2011-01-02 03:27:00
3,Analyze Request for Quotation,Karel de Groot,2011-01-02 03:27:00,2011-01-02 03:48:00
4,Create Quotation comparison Map,Karel de Groot,2011-01-02 03:48:00,2011-01-02 09:08:00
5,Amend Request for Quotation,Anne Olwada,2011-01-02 04:21:00,2011-01-02 04:33:00
11,Start,Start,2011-01-02 05:12:00,2011-01-02 05:12:00
11,Create Purchase Requisition,Miu Hanwan,2011-01-02 05:12:00,2011-01-02 05:53:00
12,Create Purchase Requisition,Alberto Duport,2011-01-02 05:31:00,2011-01-02 05:41:00
12,Start,Start,2011-01-02 05:31:00,2011-01-02 05:31:00
13,Create Purchase Requisition,Anna Kaufmann,2011-01-02 07:47:00,2011-01-02 08:06:00
13,Start,Start,2011-01-02 07:47:00,2011-01-02 07:47:00
5,Analyze Request for Quotation,Karel de Groot,2011-01-02 09:08:00,2011-01-02 09:42:00
8,Send Request for Quotation to Supplier,Francois de Perrier,2011-01-02 09:20:00,2011-01-02 09:48:00
6,Send Request for Quotation to Supplier,Francois de Perrier,2011-01-02 09:51:00,2011-01-02 10:22:00
1,Create Purchase Order,Karel de Groot,2011-01-02 09:58:00,2011-01-02 10:10:00
8,Create Quotation comparison Map,Karel de Groot,2011-01-02 10:10:00,2011-01-02 15:33:00
10,Create Request for Quotation,Immanuel Karagianni,2011-01-02 10:25:00,2011-01-02 10:32:00
6,Create Quotation comparison Map,Francois de Perrier,2011-01-02 10:27:00,2011-01-02 15:32:00
13,Create Request for Quotation,Anna Kaufmann,2011-01-02 11:39:00,2011-01-02 11:48:00
7,Analyze Purchase Requisition,Maris Freeman,2011-01-02 13:33:00,2011-01-02 13:38:00
7,Create Request for Quotation,Maris Freeman,2011-01-02 13:41:00,2011-01-02 13:42:00
14,Create Purchase Requisition,Miu Hanwan,2011-01-02 13:58:00,2011-01-02 14:50:00
14,Start,Start,2011-01-02 13:58:00,2011-01-02 13:58:00
1,Confirm Purchase Order,Sean Manney,2011-01-02 14:09:00,2011-01-02 14:43:00
7,Analyze Request for Quotation,Magdalena Predutta,2011-01-02 15:07:00,2011-01-02 15:29:00
3,Send Request for Quotation to Supplier,Magdalena Predutta,2011-01-02 15:29:00,2011-01-02 15:55:00
10,Analyze Request for Quotation,Francois de Perrier,2011-01-02 15:32:00,2011-01-02 15:59:00
13,Analyze Request for Quotation,Karel de Groot,2011-01-02 15:33:00,2011-01-02 16:15:00
4,Analyze Quotation Comparison Map,Elvira Lores,2011-01-02 15:59:00,2011-01-02 16:13:00
3,Create Quotation comparison Map,Francois de Perrier,2011-01-02 16:00:00,2011-01-02 21:00:00
9,Amend Request for Quotation,Heinz Gutschmidt,2011-01-02 16:04:00,2011-01-02 16:30:00
4,Choose best option,Kim Passa,2011-01-02 16:13:00,2011-01-02 16:13:00
7,Amend Request for Quotation,Esmana Liubiata,2011-01-02 16:21:00,2011-01-02 16:28:00
2,Create Purchase Order,Magdalena Predutta,2011-01-02 16:21:00,2011-01-02 16:31:00
13,Amend Request for Quotation,Anne Olwada,2011-01-02 17:04:00,2011-01-02 17:18:00
