caseid,task,user,start_timestamp,end_timestamp
672,Start,Start,2011-04-07 07:11:00,2011-04-07 07:11:00
672,Create Purchase Requisition,Christian Francois,2011-04-07 07:11:00,2011-04-07 07:48:00
672,Analyze Purchase Requisition,Francis Odell,2011-04-07 19:50:00,2011-04-07 19:54:00
672,Create Request for Quotation,Maris Freeman,2011-04-07 20:01:00,2011-04-07 20:04:00
672,Analyze Request for Quotation,Francois de Perrier,2011-04-11 11:49:00,2011-04-11 12:03:00
672,Send Request for Quotation to Supplier,Karel de Groot,2011-04-12 12:21:00,2011-04-12 12:41:00
672,Create Quotation comparison Map,Francois de Perrier,2011-04-12 19:29:00,2011-04-12 23:23:00
672,Analyze Quotation Comparison Map,Anna Kaufmann,2011-04-13 06:10:00,2011-04-13 06:41:00
672,Choose best option,Clement Duchot,2011-04-13 06:41:00,2011-04-13 06:41:00
672,Settle Conditions With Supplier,Magdalena Predutta,2011-04-13 09:09:00,2011-04-13 16:39:00
672,Create Purchase Order,Karel de Groot,2011-04-13 19:23:00,2011-04-13 19:29:00
672,Confirm Purchase Order,Karen Clarens,2011-04-14 07:13:00,2011-04-14 07:28:00
672,Deliver Goods Services,Carmen Finacse,2011-04-14 21:39:00,2011-04-16 06:34:00
672,Release Purchase Order,Christian Francois,2011-04-16 14:03:00,2011-04-16 14:04:00
672,Approve Purchase Order for payment,Magdalena Predutta,2011-04-17 00:05:00,2011-04-17 00:06:00
672,Send Invoice,Sean Manney,2011-04-18 08:45:00,2011-04-18 08:45:00
672,Release Supplier's Invoice,Pedro Alvares,2011-04-18 23:17:00,2011-04-18 23:19:00
672,Authorize Supplier's Invoice payment,Karalda Nimwada,2011-04-18 23:25:00,2011-04-18 23:25:00
672,Pay Invoice,Pedro Alvares,2011-04-19 00:45:00,2011-04-19 00:56:00
672,End,End,2011-04-19 00:56:00,2011-04-19 00:56:00
162,Start,Start,2011-01-21 23:18:00,2011-01-21 23:18:00
162,Create Purchase Requisition,Elvira Lores,2011-01-21 23:18:00,2011-01-21 23:24:00
162,Analyze Purchase Requisition,Heinz Gutschmidt,2011-01-22 20:25:00,2011-01-22 20:31:00
162,Create Request for Quotation,Francis Odell,2011-01-22 20:38:00,2011-01-22 20:40:00
162,Analyze Request for Quotation,Francois de Perrier,2011-01-23 03:07:00,2011-01-23 03:26:00
162,Send Request for Quotation to Supplier,Karel de Groot,2011-01-24 02:44:00,2011-01-24 03:05:00
162,Create Quotation comparison Map,Karel de Groot,2011-01-24 08:48:00,2011-01-24 11:51:00
162,Analyze Quotation Comparison Map,Esmana Liubiata,2011-01-24 18:18:00,2011-01-24 18:30:00
162,Choose best option,Miu Hanwan,2011-01-24 18:30:00,2011-01-24 18:30:00
162,Settle Conditions With Supplier,Magdalena Predutta,2011-01-25 04:42:00,2011-01-25 12:02:00
162,Create Purchase Order,Karel de Groot,2011-01-25 16:02:00,2011-01-25 16:09:00
162,Confirm Purchase Order,Esmeralda Clay,2011-01-27 03:53:00,2011-01-27 04:22:00
162,Deliver Goods Services,Esmeralda Clay,2011-01-29 06:26:00,2011-01-31 00:41:00
162,Release Purchase Order,Immanuel Karagianni,2011-01-31 08:31:00,2011-01-31 08:32:00
162,Approve Purchase Order for payment,Francois de Perrier,2011-01-31 12:46:00,2011-01-31 12:47:00
162,Send Invoice,Kiu Kan,2011-01-31 20:06:00,2011-01-31 20:06:00
162,Release Supplier's Invoice,Pedro Alvares,2011-02-01 10:26:00,2011-02-01 10:31:00
162,Authorize Supplier's Invoice payment,Karalda Nimwada,2011-02-01 10:31:00,2011-02-01 10:31:00
162,Pay Invoice,Karalda Nimwada,2011-02-01 11:21:00,2011-02-01 11:35:00
162,End,End,2011-02-01 11:35:00,2011-02-01 11:35:00
637,Start,Start,2011-04-02 14:24:00,2011-04-02 14:24:00
637,Create Purchase Requisition,Clement Duchot,2011-04-02 14:24:00,2011-04-02 14:40:00
637,Analyze Purchase Requisition,Heinz Gutschmidt,2011-04-03 02:12:00,2011-04-03 02:17:00
637,Create Request for Quotation,Maris Freeman,2011-04-03 02:22:00,2011-04-03 02:24:00
637,Analyze Request for Quotation,Francois de Perrier,2011-04-05 06:34:00,2011-04-05 07:04:00
637,Amend Request for Quotation,Immanuel Karagianni,2011-04-05 07:55:00,2011-04-05 08:01:00
637,Analyze Request for Quotation,Magdalena Predutta,2011-04-17 00:13:00,2011-04-17 00:33:00
637,Amend Request for Quotation,Anne Olwada,2011-04-17 01:27:00,2011-04-17 01:34:00
637,Analyze Request for Quotation,Karel de Groot,2011-04-21 21:50:00,2011-04-21 22:18:00
637,Amend Request for Quotation,Penn Osterwalder,2011-04-21 23:12:00,2011-04-21 23:18:00
637,Analyze Request for Quotation,Karel de Groot,2011-05-03 23:55:00,2011-05-04 00:16:00
637,Amend Request for Quotation,Alberto Duport,2011-05-04 01:08:00,2011-05-04 01:20:00
637,Analyze Request for Quotation,Magdalena Predutta,2011-05-04 16:00:00,2011-05-04 16:15:00
637,Amend Request for Quotation,Heinz Gutschmidt,2011-05-05 07:58:00,2011-05-05 08:25:00
